2022-08-27 18:00:38,826 [background-preinit] INFO  [org.hibernate.validator.internal.util.Version] Version.java:21 - HV000001: Hibernate Validator 6.2.3.Final
2022-08-27 18:00:41,619 [main] INFO  [o.s.c.gateway.route.RouteDefinitionRouteLocator] RouteDefinitionRouteLocator.java:88 - Loaded RoutePredicateFactory [ReadBody]
2022-08-27 18:00:41,619 [main] INFO  [o.s.c.gateway.route.RouteDefinitionRouteLocator] RouteDefinitionRouteLocator.java:88 - Loaded RoutePredicateFactory [RemoteAddr]
2022-08-27 18:00:41,619 [main] INFO  [o.s.c.gateway.route.RouteDefinitionRouteLocator] RouteDefinitionRouteLocator.java:88 - Loaded RoutePredicateFactory [XForwardedRemoteAddr]
2022-08-27 18:00:41,619 [main] INFO  [o.s.c.gateway.route.RouteDefinitionRouteLocator] RouteDefinitionRouteLocator.java:88 - Loaded RoutePredicateFactory [Weight]
2022-08-27 18:00:41,619 [main] INFO  [o.s.c.gateway.route.RouteDefinitionRouteLocator] RouteDefinitionRouteLocator.java:88 - Loaded RoutePredicateFactory [CloudFoundryRouteService]
2022-08-27 18:00:41,933 [main] INFO  [com.alibaba.nacos.common.remote.client] RpcClientFactory.java:80 - [RpcClientFactory] create a new rpc client of 1707b4be-6256-49f7-aed3-0a65cef45e62
2022-08-27 18:00:41,934 [main] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [1707b4be-6256-49f7-aed3-0a65cef45e62] RpcClient init label, labels = {module=naming, source=sdk}
2022-08-27 18:00:41,935 [main] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [1707b4be-6256-49f7-aed3-0a65cef45e62] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2022-08-27 18:00:41,935 [main] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [1707b4be-6256-49f7-aed3-0a65cef45e62] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2022-08-27 18:00:41,935 [main] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [1707b4be-6256-49f7-aed3-0a65cef45e62] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2022-08-27 18:00:41,936 [main] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [1707b4be-6256-49f7-aed3-0a65cef45e62] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8849}
2022-08-27 18:00:42,049 [main] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [1707b4be-6256-49f7-aed3-0a65cef45e62] Success to connect to server [127.0.0.1:8849] on start up, connectionId = 1661594441939_127.0.0.1_62712
2022-08-27 18:00:42,049 [com.alibaba.nacos.client.remote.worker] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [1707b4be-6256-49f7-aed3-0a65cef45e62] Notify connected event to listeners.
2022-08-27 18:00:42,049 [main] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [1707b4be-6256-49f7-aed3-0a65cef45e62] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2022-08-27 18:00:42,049 [main] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [1707b4be-6256-49f7-aed3-0a65cef45e62] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$338/1777381620
2022-08-27 18:00:42,264 [main] INFO  [o.s.boot.web.embedded.netty.NettyWebServer] NettyWebServer.java:111 - Netty started on port 9420
2022-08-27 18:00:42,501 [main] INFO  [c.a.cloud.nacos.registry.NacosServiceRegistry] NacosServiceRegistry.java:75 - nacos registry, SYLVANAS_GROUP sylvanas-gateway 10.202.116.98:9420 register finished
2022-08-27 18:00:42,511 [main] INFO  [com.sylvanas.gateway.SylvanasGatewayApplication] StartupInfoLogger.java:61 - Started SylvanasGatewayApplication in 4.322 seconds (JVM running for 5.34)
2022-08-27 18:00:42,515 [main] INFO  [c.a.cloud.nacos.refresh.NacosContextRefresher] NacosContextRefresher.java:105 - listening config: dataId=sylvanas-redis-dev.yml, group=DEFAULT_GROUP
2022-08-27 18:00:42,516 [main] INFO  [c.a.cloud.nacos.refresh.NacosContextRefresher] NacosContextRefresher.java:105 - listening config: dataId=sylvanas-gateway, group=SYLVANAS_GROUP
2022-08-27 18:00:42,516 [main] INFO  [c.a.cloud.nacos.refresh.NacosContextRefresher] NacosContextRefresher.java:105 - listening config: dataId=sylvanas-gateway-dev.yml, group=DEFAULT_GROUP
2022-08-27 18:00:42,516 [main] INFO  [c.a.cloud.nacos.refresh.NacosContextRefresher] NacosContextRefresher.java:105 - listening config: dataId=sylvanas-gateway.yml, group=SYLVANAS_GROUP
2022-08-27 18:00:42,517 [main] INFO  [c.a.cloud.nacos.refresh.NacosContextRefresher] NacosContextRefresher.java:105 - listening config: dataId=sylvanas-gateway-dev.yml, group=SYLVANAS_GROUP
2022-08-27 18:00:42,579 [nacos-grpc-client-executor-6] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [1707b4be-6256-49f7-aed3-0a65cef45e62] Receive server push request, request = NotifySubscriberRequest, requestId = 17
2022-08-27 18:00:42,582 [nacos-grpc-client-executor-6] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [1707b4be-6256-49f7-aed3-0a65cef45e62] Ack server push request, request = NotifySubscriberRequest, requestId = 17
2022-08-27 18:00:45,364 [Thread-3] WARN  [com.alibaba.nacos.common.http.HttpClientBeanHolder] HttpClientBeanHolder.java:108 - [HttpClientBeanHolder] Start destroying common HttpClient
2022-08-27 18:00:45,364 [Thread-9] WARN  [com.alibaba.nacos.common.notify.NotifyCenter] NotifyCenter.java:136 - [NotifyCenter] Start destroying Publisher
2022-08-27 18:00:45,364 [Thread-9] WARN  [com.alibaba.nacos.common.notify.NotifyCenter] NotifyCenter.java:153 - [NotifyCenter] Destruction of the end
2022-08-27 18:00:45,365 [Thread-3] WARN  [com.alibaba.nacos.common.http.HttpClientBeanHolder] HttpClientBeanHolder.java:114 - [HttpClientBeanHolder] Destruction of the end
2022-08-27 18:00:45,373 [SpringApplicationShutdownHook] INFO  [c.a.cloud.nacos.registry.NacosServiceRegistry] NacosServiceRegistry.java:94 - De-registering from Nacos Server now...
2022-08-27 18:00:45,377 [SpringApplicationShutdownHook] INFO  [c.a.cloud.nacos.registry.NacosServiceRegistry] NacosServiceRegistry.java:114 - De-registration finished.
2022-08-27 18:00:45,947 [nacos-grpc-client-executor-10] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [1707b4be-6256-49f7-aed3-0a65cef45e62] Receive server push request, request = NotifySubscriberRequest, requestId = 18
2022-08-27 18:00:45,948 [nacos-grpc-client-executor-10] INFO  [com.alibaba.nacos.common.remote.client] LoggerUtils.java:60 - [1707b4be-6256-49f7-aed3-0a65cef45e62] Ack server push request, request = NotifySubscriberRequest, requestId = 18
2022-08-27 18:00:46,025 [SpringApplicationShutdownHook] INFO  [com.alibaba.nacos.common.remote.client] RpcClient.java:454 - Shutdown rpc client, set status to shutdown
2022-08-27 18:00:46,025 [SpringApplicationShutdownHook] INFO  [com.alibaba.nacos.common.remote.client] RpcClient.java:456 - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@5cf3d80a[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
2022-08-27 18:00:46,025 [SpringApplicationShutdownHook] INFO  [com.alibaba.nacos.common.remote.client] RpcClient.java:591 - Close current connection 1661594441939_127.0.0.1_62712
2022-08-27 18:00:46,027 [nacos-grpc-client-executor-11] INFO  [c.a.nacos.common.remote.client.grpc.GrpcClient] LoggerUtils.java:60 - [1661594441939_127.0.0.1_62712]Ignore complete event,isRunning:false,isAbandon=false
2022-08-27 18:00:46,030 [SpringApplicationShutdownHook] INFO  [c.a.nacos.common.remote.client.grpc.GrpcClient] GrpcClient.java:85 - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@2c6665db[Running, pool size = 12, active threads = 0, queued tasks = 0, completed tasks = 12]
